Area,Type,Case,Year,Data,Unit
Alberta,Non Associated,Reference,2008,182.6577150789,Million cubic metres Per Day
Alberta,Non Associated,Reference,2009,162.4599869692,Million cubic metres Per Day
Alberta,Non Associated,Reference,2010,138.0130874479,Million cubic metres Per Day
Alberta,Non Associated,Reference,2011,122.1495141781,Million cubic metres Per Day
Alberta,Non Associated,Reference,2012,102.7166369225,Million cubic metres Per Day
Alberta,Non Associated,Reference,2013,94.6432112405,Million cubic metres Per Day
Alberta,Non Associated,Reference,2014,87.8162091725,Million cubic metres Per Day
Alberta,Non Associated,Reference,2015,82.0939916716,Million cubic metres Per Day
Alberta,Non Associated,Reference,2016,76.9100025495,Million cubic metres Per Day
Alberta,Non Associated,Reference,2017,70.8761791451,Million cubic metres Per Day
Alberta,Non Associated,Reference,2018,65.7771734512,Million cubic metres Per Day
Alberta,Non Associated,Reference,2019,61.2447239455,Million cubic metres Per Day
Alberta,Non Associated,Reference,2020,57.2505028186,Million cubic metres Per Day
Alberta,Non Associated,Reference,2021,53.7095266423,Million cubic metres Per Day
Alberta,Non Associated,Reference,2022,50.5368119883,Million cubic metres Per Day
Alberta,Non Associated,Reference,2023,47.619047619,Million cubic metres Per Day
Alberta,Non Associated,Reference,2024,44.9562335345,Million cubic metres Per Day
Alberta,Non Associated,Reference,2025,42.5483697346,Million cubic metres Per Day
Alberta,Non Associated,Reference,2026,40.3388006005,Million cubic metres Per Day
Alberta,Non Associated,Reference,2027,38.2708705136,Million cubic metres Per Day
Alberta,Non Associated,Reference,2028,36.3729072831,Million cubic metres Per Day
Alberta,Non Associated,Reference,2029,34.6165830996,Million cubic metres Per Day
Alberta,Non Associated,Reference,2030,33.0302257726,Million cubic metres Per Day
Alberta,Non Associated,Reference,2031,31.5571796833,Million cubic metres Per Day
Alberta,Non Associated,Reference,2032,30.225772641,Million cubic metres Per Day
Alberta,Non Associated,Reference,2033,29.0076768364,Million cubic metres Per Day
Alberta,Non Associated,Reference,2034,27.9028922693,Million cubic metres Per Day
Alberta,Non Associated,Reference,2035,26.8830911306,Million cubic metres Per Day
Alberta,Non Associated,Reference,2036,25.94827342,Million cubic metres Per Day
Alberta,Non Associated,Reference,2037,25.1267669471,Million cubic metres Per Day
Alberta,Non Associated,Reference,2038,24.361916093,Million cubic metres Per Day
Alberta,Non Associated,Reference,2039,23.6820486672,Million cubic metres Per Day
Alberta,Non Associated,Reference,2040,23.0588368601,Million cubic metres Per Day
Alberta,Tight,Reference,2005,101.6968357837,Million cubic metres Per Day
Alberta,Tight,Reference,2006,108.7504603269,Million cubic metres Per Day
Alberta,Tight,Reference,2007,113.3678932608,Million cubic metres Per Day
Alberta,Tight,Reference,2008,112.0081584091,Million cubic metres Per Day
Alberta,Tight,Reference,2009,107.4757089034,Million cubic metres Per Day
Alberta,Tight,Reference,2010,112.348092122,Million cubic metres Per Day
Alberta,Tight,Reference,2011,114.9259227784,Million cubic metres Per Day
Alberta,Tight,Reference,2012,115.1525452537,Million cubic metres Per Day
Alberta,Tight,Reference,2013,115.4358233478,Million cubic metres Per Day
Alberta,Tight,Reference,2014,124.1324608368,Million cubic metres Per Day
Alberta,Tight,Reference,2015,123.8491827427,Million cubic metres Per Day
Alberta,Tight,Reference,2016,122.971020651,Million cubic metres Per Day
Alberta,Tight,Reference,2017,126.2003909238,Million cubic metres Per Day
Alberta,Tight,Reference,2018,129.458089006,Million cubic metres Per Day
Alberta,Tight,Reference,2019,132.0925752812,Million cubic metres Per Day
Alberta,Tight,Reference,2020,134.7837171752,Million cubic metres Per Day
Alberta,Tight,Reference,2021,137.3332200221,Million cubic metres Per Day
Alberta,Tight,Reference,2022,141.1858021019,Million cubic metres Per Day
Alberta,Tight,Reference,2023,145.0667119912,Million cubic metres Per Day
Alberta,Tight,Reference,2024,147.3895923628,Million cubic metres Per Day
Alberta,Tight,Reference,2025,149.7974561627,Million cubic metres Per Day
Alberta,Tight,Reference,2026,152.3752868191,Million cubic metres Per Day
Alberta,Tight,Reference,2027,154.9531174754,Million cubic metres Per Day
Alberta,Tight,Reference,2028,157.5309481318,Million cubic metres Per Day
Alberta,Tight,Reference,2029,159.7971728846,Million cubic metres Per Day
Alberta,Tight,Reference,2030,162.1483810657,Million cubic metres Per Day
Alberta,Tight,Reference,2031,164.5279170562,Million cubic metres Per Day
Alberta,Tight,Reference,2032,166.794141809,Million cubic metres Per Day
Alberta,Tight,Reference,2033,168.7204328489,Million cubic metres Per Day
Alberta,Tight,Reference,2034,171.07164103,Million cubic metres Per Day
Alberta,Tight,Reference,2035,173.2528823546,Million cubic metres Per Day
Alberta,Tight,Reference,2036,175.3774680604,Million cubic metres Per Day
Alberta,Tight,Reference,2037,177.7286762415,Million cubic metres Per Day
Alberta,Tight,Reference,2038,179.8532619473,Million cubic metres Per Day
Alberta,Tight,Reference,2039,182.1761423189,Million cubic metres Per Day
Alberta,Tight,Reference,2040,184.3290558341,Million cubic metres Per Day
Alberta,Shale,Reference,2005,0,Million cubic metres Per Day
Alberta,Shale,Reference,2006,0,Million cubic metres Per Day
Alberta,Shale,Reference,2007,0,Million cubic metres Per Day
Alberta,Shale,Reference,2008,0,Million cubic metres Per Day
Alberta,Shale,Reference,2009,0,Million cubic metres Per Day
Alberta,Shale,Reference,2010,0,Million cubic metres Per Day
Alberta,Shale,Reference,2011,0.0283278094,Million cubic metres Per Day
Alberta,Shale,Reference,2012,0.2549502847,Million cubic metres Per Day
Alberta,Shale,Reference,2013,0.7648508541,Million cubic metres Per Day
Alberta,Shale,Reference,2014,1.8129798023,Million cubic metres Per Day
Alberta,Shale,Reference,2015,3.2293702728,Million cubic metres Per Day
Alberta,Shale,Reference,2016,4.5324495057,Million cubic metres Per Day
Alberta,Shale,Reference,2017,5.4106115974,Million cubic metres Per Day
Alberta,Shale,Reference,2018,6.3737571174,Million cubic metres Per Day
Alberta,Shale,Reference,2019,7.2802470185,Million cubic metres Per Day
Alberta,Shale,Reference,2020,8.1300813008,Million cubic metres Per Day
Alberta,Shale,Reference,2021,9.0365712019,Million cubic metres Per Day
Alberta,Shale,Reference,2022,9.9997167219,Million cubic metres Per Day
Alberta,Shale,Reference,2023,10.9628622419,Million cubic metres Per Day
Alberta,Shale,Reference,2024,11.9543355712,Million cubic metres Per Day
Alberta,Shale,Reference,2025,12.97413671,Million cubic metres Per Day
Alberta,Shale,Reference,2026,13.9939378488,Million cubic metres Per Day
Alberta,Shale,Reference,2027,14.9570833687,Million cubic metres Per Day
Alberta,Shale,Reference,2028,15.9202288887,Million cubic metres Per Day
Alberta,Shale,Reference,2029,16.8550465992,Million cubic metres Per Day
Alberta,Shale,Reference,2030,17.8181921192,Million cubic metres Per Day
Alberta,Shale,Reference,2031,18.7813376392,Million cubic metres Per Day
