Scenario,Region,Type,Year,Data,Unit
Reference,BC,Mined Bitumen ,2014,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2014,0,Thousand cubic metres
Reference,BC,Total,2014,8.350816095,Thousand cubic metres
Reference,BC,Conventional Light,2015,3.37654703,Thousand cubic metres
Reference,BC,Conventional Heavy,2015,0,Thousand cubic metres
Reference,BC,C5+,2015,2.596861355,Thousand cubic metres
Reference,BC,Field Condensate,2015,3.434628557,Thousand cubic metres
Reference,BC,Mined Bitumen ,2015,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2015,0,Thousand cubic metres
Reference,BC,Total,2015,9.408036942,Thousand cubic metres
Reference,BC,Conventional Light,2016,3.694261686,Thousand cubic metres
Reference,BC,Conventional Heavy,2016,0,Thousand cubic metres
Reference,BC,C5+,2016,2.961195539,Thousand cubic metres
Reference,BC,Field Condensate,2016,4.294200867,Thousand cubic metres
Reference,BC,Mined Bitumen ,2016,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2016,0,Thousand cubic metres
Reference,BC,Total,2016,10.94965809,Thousand cubic metres
Reference,BC,Conventional Light,2017,3.378503706,Thousand cubic metres
Reference,BC,Conventional Heavy,2017,0,Thousand cubic metres
Reference,BC,C5+,2017,3.102730962,Thousand cubic metres
Reference,BC,Field Condensate,2017,4.699361081,Thousand cubic metres
Reference,BC,Mined Bitumen ,2017,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2017,0,Thousand cubic metres
Reference,BC,Total,2017,11.18059575,Thousand cubic metres
Reference,BC,Conventional Light,2018,3.297335055,Thousand cubic metres
Reference,BC,Conventional Heavy,2018,0,Thousand cubic metres
Reference,BC,C5+,2018,4.236417091,Thousand cubic metres
Reference,BC,Field Condensate,2018,8.556244644,Thousand cubic metres
Reference,BC,Mined Bitumen ,2018,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2018,0,Thousand cubic metres
Reference,BC,Total,2018,16.08999679,Thousand cubic metres
Reference,BC,Conventional Light,2019,3.479111241,Thousand cubic metres
Reference,BC,Conventional Heavy,2019,0,Thousand cubic metres
Reference,BC,C5+,2019,4.434229567,Thousand cubic metres
Reference,BC,Field Condensate,2019,10.58353288,Thousand cubic metres
Reference,BC,Mined Bitumen ,2019,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2019,0,Thousand cubic metres
Reference,BC,Total,2019,18.49687369,Thousand cubic metres
Reference,BC,Conventional Light,2020,4.032801472,Thousand cubic metres
Reference,BC,Conventional Heavy,2020,0,Thousand cubic metres
Reference,BC,C5+,2020,4.621896904,Thousand cubic metres
Reference,BC,Field Condensate,2020,11.17508758,Thousand cubic metres
Reference,BC,Mined Bitumen ,2020,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2020,0,Thousand cubic metres
Reference,BC,Total,2020,19.82978596,Thousand cubic metres
Reference,BC,Conventional Light,2021,4.472150847,Thousand cubic metres
Reference,BC,Conventional Heavy,2021,0,Thousand cubic metres
Reference,BC,C5+,2021,4.759055248,Thousand cubic metres
Reference,BC,Field Condensate,2021,11.587645,Thousand cubic metres
Reference,BC,Mined Bitumen ,2021,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2021,0,Thousand cubic metres
Reference,BC,Total,2021,20.8188511,Thousand cubic metres
Reference,BC,Conventional Light,2022,4.878268409,Thousand cubic metres
Reference,BC,Conventional Heavy,2022,0,Thousand cubic metres
Reference,BC,C5+,2022,4.852077445,Thousand cubic metres
Reference,BC,Field Condensate,2022,11.87171842,Thousand cubic metres
Reference,BC,Mined Bitumen ,2022,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2022,0,Thousand cubic metres
Reference,BC,Total,2022,21.60206427,Thousand cubic metres
Reference,BC,Conventional Light,2023,5.057983131,Thousand cubic metres
Reference,BC,Conventional Heavy,2023,0,Thousand cubic metres
Reference,BC,C5+,2023,5.033511526,Thousand cubic metres
Reference,BC,Field Condensate,2023,12.40219783,Thousand cubic metres
Reference,BC,Mined Bitumen ,2023,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2023,0,Thousand cubic metres
Reference,BC,Total,2023,22.49369249,Thousand cubic metres
Reference,BC,Conventional Light,2024,5.081939515,Thousand cubic metres
Reference,BC,Conventional Heavy,2024,0,Thousand cubic metres
Reference,BC,C5+,2024,5.462340657,Thousand cubic metres
Reference,BC,Field Condensate,2024,13.59125558,Thousand cubic metres
Reference,BC,Mined Bitumen ,2024,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2024,0,Thousand cubic metres
Reference,BC,Total,2024,24.13553575,Thousand cubic metres
Reference,BC,Conventional Light,2025,5.13347284,Thousand cubic metres
Reference,BC,Conventional Heavy,2025,0,Thousand cubic metres
Reference,BC,C5+,2025,6.163799302,Thousand cubic metres
Reference,BC,Field Condensate,2025,15.47948224,Thousand cubic metres
Reference,BC,Mined Bitumen ,2025,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2025,0,Thousand cubic metres
Reference,BC,Total,2025,26.77675438,Thousand cubic metres
Reference,BC,Conventional Light,2026,5.203269201,Thousand cubic metres
Reference,BC,Conventional Heavy,2026,0,Thousand cubic metres
Reference,BC,C5+,2026,7.029872762,Thousand cubic metres
Reference,BC,Field Condensate,2026,17.78308436,Thousand cubic metres
Reference,BC,Mined Bitumen ,2026,0,Thousand cubic metres
Reference,BC,In Situ Bitumen ,2026,0,Thousand cubic metres
Reference,BC,Total,2026,30.01622633,Thousand cubic metres
