province,source,scenario,year,value,unit
YT,total,reference,2034,430.8693,GW.h
all,total,reference,2035,706143.1012,GW.h
AB,total,reference,2035,102126.377,GW.h
BC,total,reference,2035,88784.8148,GW.h
MB,total,reference,2035,49214.0846,GW.h
NB,total,reference,2035,10040.0554,GW.h
NL,total,reference,2035,43158.8047,GW.h
NS,total,reference,2035,6807.5987,GW.h
NT,total,reference,2035,367.2161,GW.h
NU,total,reference,2035,135.954,GW.h
ON,total,reference,2035,154041.1861,GW.h
PE,total,reference,2035,917.1188,GW.h
QC,total,reference,2035,222423.5303,GW.h
SK,total,reference,2035,27691.8021,GW.h
YT,total,reference,2035,434.5586,GW.h
all,total,reference,2036,710636.45,GW.h
AB,total,reference,2036,103671.1932,GW.h
BC,total,reference,2036,89048.5162,GW.h
MB,total,reference,2036,49241.6775,GW.h
NB,total,reference,2036,10036.0802,GW.h
NL,total,reference,2036,43153.8132,GW.h
NS,total,reference,2036,6854.385,GW.h
NT,total,reference,2036,367.347,GW.h
NU,total,reference,2036,137.0519,GW.h
ON,total,reference,2036,156600.3095,GW.h
PE,total,reference,2036,942.7855,GW.h
QC,total,reference,2036,222360.9661,GW.h
SK,total,reference,2036,27787.6787,GW.h
YT,total,reference,2036,434.646,GW.h
all,total,reference,2037,713809.2208,GW.h
AB,total,reference,2037,105217.148,GW.h
BC,total,reference,2037,89161.1626,GW.h
MB,total,reference,2037,49242.9715,GW.h
NB,total,reference,2037,10053.6347,GW.h
NL,total,reference,2037,43164.5132,GW.h
NS,total,reference,2037,6854.9706,GW.h
NT,total,reference,2037,367.347,GW.h
NU,total,reference,2037,137.9706,GW.h
ON,total,reference,2037,157552.8748,GW.h
PE,total,reference,2037,969.1533,GW.h
QC,total,reference,2037,222969.7847,GW.h
SK,total,reference,2037,27680.423,GW.h
YT,total,reference,2037,437.2668,GW.h
all,total,reference,2038,716945.5796,GW.h
AB,total,reference,2038,106884.89,GW.h
BC,total,reference,2038,89251.1708,GW.h
MB,total,reference,2038,49244.2766,GW.h
NB,total,reference,2038,10084.3103,GW.h
NL,total,reference,2038,43162.0747,GW.h
NS,total,reference,2038,6849.5659,GW.h
NT,total,reference,2038,367.347,GW.h
NU,total,reference,2038,139.0627,GW.h
ON,total,reference,2038,158017.3987,GW.h
PE,total,reference,2038,997.448,GW.h
QC,total,reference,2038,223681.7059,GW.h
SK,total,reference,2038,27828.9307,GW.h
YT,total,reference,2038,437.3983,GW.h
all,total,reference,2039,720019.8945,GW.h
AB,total,reference,2039,108656.479,GW.h
BC,total,reference,2039,89335.2345,GW.h
MB,total,reference,2039,49245.5906,GW.h
NB,total,reference,2039,10043.2821,GW.h
NL,total,reference,2039,43156.1171,GW.h
NS,total,reference,2039,6857.7445,GW.h
NT,total,reference,2039,367.216,GW.h
NU,total,reference,2039,139.8519,GW.h
ON,total,reference,2039,158542.8523,GW.h
PE,total,reference,2039,1025.9183,GW.h
QC,total,reference,2039,224310.9276,GW.h
SK,total,reference,2039,27900.3623,GW.h
YT,total,reference,2039,438.3183,GW.h
all,total,reference,2040,721811.87,GW.h
AB,total,reference,2040,110194.463,GW.h
BC,total,reference,2040,89326.5135,GW.h
MB,total,reference,2040,49271.8706,GW.h
NB,total,reference,2040,9695.6388,GW.h
NL,total,reference,2040,42794.4258,GW.h
NS,total,reference,2040,6817.5929,GW.h
NT,total,reference,2040,364.5952,GW.h
NU,total,reference,2040,140.4203,GW.h
ON,total,reference,2040,158883.7599,GW.h
PE,total,reference,2040,1054.4753,GW.h
QC,total,reference,2040,224884.288,GW.h
SK,total,reference,2040,27944.4602,GW.h
YT,total,reference,2040,439.3665,GW.h
all,total,technology,2005,600960.6627,GW.h
AB,total,technology,2005,68085.208,GW.h
BC,total,technology,2005,65664.38,GW.h
MB,total,technology,2005,36990.3558,GW.h
NB,total,technology,2005,15075.7639,GW.h
NL,total,technology,2005,46954.1339,GW.h
NS,total,technology,2005,12257.1852,GW.h
NT,total,technology,2005,446.921,GW.h
NU,total,technology,2005,142,GW.h
ON,total,technology,2005,156609.1436,GW.h
PE,total,technology,2005,42.2243,GW.h
QC,total,technology,2005,178603.31,GW.h
SK,total,technology,2005,19736.903,GW.h
YT,total,technology,2005,353.134,GW.h
all,total,technology,2006,597231.1702,GW.h
AB,total,technology,2006,71426.2209,GW.h
BC,total,technology,2006,59275.791,GW.h
MB,total,technology,2006,34435.9581,GW.h
NB,total,technology,2006,15271.7884,GW.h
NL,total,technology,2006,48518.1584,GW.h
NS,total,technology,2006,11296.9369,GW.h
NT,total,technology,2006,429.158,GW.h
NU,total,technology,2006,145,GW.h
ON,total,technology,2006,156293.2202,GW.h
PE,total,technology,2006,38.2243,GW.h
QC,total,technology,2006,180141.077,GW.h
SK,total,technology,2006,19606.503,GW.h
YT,total,technology,2006,353.134,GW.h
all,total,technology,2007,620943.6912,GW.h
AB,total,technology,2007,72218.8881,GW.h
BC,total,technology,2007,69444.68,GW.h
MB,total,technology,2007,34440.5237,GW.h
NB,total,technology,2007,13583.4998,GW.h
NL,total,technology,2007,46352.1188,GW.h
NS,total,technology,2007,12482.6846,GW.h
NT,total,technology,2007,405.731,GW.h
NU,total,technology,2007,149,GW.h
ON,total,technology,2007,156467.4268,GW.h
PE,total,technology,2007,42.2243,GW.h
QC,total,technology,2007,194388.8771,GW.h
SK,total,technology,2007,20614.903,GW.h
YT,total,technology,2007,353.134,GW.h
all,total,technology,2008,618791.2751,GW.h
AB,total,technology,2008,71326.3421,GW.h
BC,total,technology,2008,63722.706,GW.h
MB,total,technology,2008,35567.1803,GW.h
NB,total,technology,2008,10747.0667,GW.h
NL,total,technology,2008,47369.2227,GW.h
NS,total,technology,2008,12101.577,GW.h
NT,total,technology,2008,447.5092,GW.h
NU,total,technology,2008,182,GW.h
ON,total,technology,2008,161366.1029,GW.h
PE,total,technology,2008,144.2243,GW.h
QC,total,technology,2008,193680.6769,GW.h
SK,total,technology,2008,21765.605,GW.h
YT,total,technology,2008,371.062,GW.h
all,total,technology,2009,601567.2546,GW.h
AB,total,technology,2009,71976.857,GW.h
BC,total,technology,2009,60242.043,GW.h
MB,total,technology,2009,34196.0516,GW.h
NB,total,technology,2009,10594.9893,GW.h
NL,total,technology,2009,43580.7483,GW.h
NS,total,technology,2009,11470.647,GW.h
NT,total,technology,2009,418.2507,GW.h
NU,total,technology,2009,162,GW.h
ON,total,technology,2009,151036.4385,GW.h
PE,total,technology,2009,349.2243,GW.h
QC,total,technology,2009,196373.277,GW.h
SK,total,technology,2009,20768.9019,GW.h
YT,total,technology,2009,397.826,GW.h
all,total,technology,2010,586085.0076,GW.h
AB,total,technology,2010,73790.8972,GW.h
BC,total,technology,2010,60100.721,GW.h
MB,total,technology,2010,33771.5189,GW.h
NB,total,technology,2010,9490.3589,GW.h
NL,total,technology,2010,45635.8099,GW.h
NS,total,technology,2010,11776.21,GW.h
NT,total,technology,2010,309.0334,GW.h
NU,total,technology,2010,162,GW.h
ON,total,technology,2010,145483.7268,GW.h
PE,total,technology,2010,460.2243,GW.h
QC,total,technology,2010,184291.4052,GW.h
SK,total,technology,2010,20407.803,GW.h
YT,total,technology,2010,405.299,GW.h
all,total,technology,2011,615444.9862,GW.h
AB,total,technology,2011,73370.7142,GW.h
BC,total,technology,2011,68674.245,GW.h
MB,total,technology,2011,35126.361,GW.h
NB,total,technology,2011,9880.7673,GW.h
NL,total,technology,2011,44887.8503,GW.h
NS,total,technology,2011,11418.255,GW.h
NT,total,technology,2011,356.8152,GW.h
NU,total,technology,2011,98,GW.h
ON,total,technology,2011,153235.4836,GW.h
PE,total,technology,2011,490.2243,GW.h
QC,total,technology,2011,196285.6364,GW.h
SK,total,technology,2011,21195.2969,GW.h
YT,total,technology,2011,425.337,GW.h
