province,source,scenario,year,value,unit
NT,hydro,reference,2005,259.107,GW.h
NU,hydro,reference,2005,0,GW.h
ON,hydro,reference,2005,35480,GW.h
PE,hydro,reference,2005,0,GW.h
QC,hydro,reference,2005,173112.6,GW.h
SK,hydro,reference,2005,4573,GW.h
YT,hydro,reference,2005,330.633,GW.h
AB,hydro,reference,2006,1966,GW.h
BC,hydro,reference,2006,53902.91,GW.h
MB,hydro,reference,2006,33651,GW.h
NB,hydro,reference,2006,3731,GW.h
NL,hydro,reference,2006,41953.37,GW.h
NS,hydro,reference,2006,941.0829,GW.h
NT,hydro,reference,2006,251.866,GW.h
NU,hydro,reference,2006,0,GW.h
ON,hydro,reference,2006,36031.99,GW.h
PE,hydro,reference,2006,0,GW.h
QC,hydro,reference,2006,172347.6,GW.h
SK,hydro,reference,2006,4032,GW.h
YT,hydro,reference,2006,330.633,GW.h
AB,hydro,reference,2007,2113,GW.h
BC,hydro,reference,2007,64015.8,GW.h
MB,hydro,reference,2007,33513,GW.h
NB,hydro,reference,2007,2793.761,GW.h
NL,hydro,reference,2007,40291.38,GW.h
NS,hydro,reference,2007,941.0828,GW.h
NT,hydro,reference,2007,250.246,GW.h
NU,hydro,reference,2007,0,GW.h
ON,hydro,reference,2007,34315,GW.h
PE,hydro,reference,2007,0,GW.h
QC,hydro,reference,2007,180856.6,GW.h
SK,hydro,reference,2007,4393,GW.h
YT,hydro,reference,2007,330.633,GW.h
AB,hydro,reference,2008,2150,GW.h
BC,hydro,reference,2008,58525.63,GW.h
MB,hydro,reference,2008,34588,GW.h
NB,hydro,reference,2008,3536.094,GW.h
NL,hydro,reference,2008,41897.25,GW.h
NS,hydro,reference,2008,1111.681,GW.h
NT,hydro,reference,2008,246.575,GW.h
NU,hydro,reference,2008,0,GW.h
ON,hydro,reference,2008,39614.99,GW.h
PE,hydro,reference,2008,0,GW.h
QC,hydro,reference,2008,187783.8,GW.h
SK,hydro,reference,2008,4030,GW.h
YT,hydro,reference,2008,348.294,GW.h
AB,hydro,reference,2009,1695,GW.h
BC,hydro,reference,2009,56298.4,GW.h
MB,hydro,reference,2009,33549,GW.h
NB,hydro,reference,2009,2964.241,GW.h
NL,hydro,reference,2009,36728,GW.h
NS,hydro,reference,2009,1104.094,GW.h
NT,hydro,reference,2009,253.952,GW.h
NU,hydro,reference,2009,0,GW.h
ON,hydro,reference,2009,39685.01,GW.h
PE,hydro,reference,2009,0,GW.h
QC,hydro,reference,2009,189423,GW.h
SK,hydro,reference,2009,2962,GW.h
YT,hydro,reference,2009,379.056,GW.h
AB,hydro,reference,2010,1620,GW.h
BC,hydro,reference,2010,53970.88,GW.h
MB,hydro,reference,2010,33269,GW.h
NB,hydro,reference,2010,3325.349,GW.h
NL,hydro,reference,2010,40286.8,GW.h
NS,hydro,reference,2010,1035.491,GW.h
NT,hydro,reference,2010,253.952,GW.h
NU,hydro,reference,2010,0,GW.h
ON,hydro,reference,2010,32555,GW.h
PE,hydro,reference,2010,0,GW.h
QC,hydro,reference,2010,177402.2,GW.h
SK,hydro,reference,2010,3866,GW.h
YT,hydro,reference,2010,380.431,GW.h
AB,hydro,reference,2011,2036,GW.h
BC,hydro,reference,2011,60772.07,GW.h
MB,hydro,reference,2011,34206,GW.h
NB,hydro,reference,2011,3921.287,GW.h
NL,hydro,reference,2011,40033.37,GW.h
NS,hydro,reference,2011,1138.569,GW.h
NT,hydro,reference,2011,260.345,GW.h
NU,hydro,reference,2011,0,GW.h
ON,hydro,reference,2011,34907,GW.h
PE,hydro,reference,2011,0,GW.h
QC,hydro,reference,2011,189675.6,GW.h
SK,hydro,reference,2011,4641,GW.h
YT,hydro,reference,2011,388.067,GW.h
AB,hydro,reference,2012,2319,GW.h
BC,hydro,reference,2012,64477.04,GW.h
MB,hydro,reference,2012,32185,GW.h
NB,hydro,reference,2012,2957.281,GW.h
NL,hydro,reference,2012,42202.52,GW.h
NS,hydro,reference,2012,878.625,GW.h
NT,hydro,reference,2012,255.196,GW.h
NU,hydro,reference,2012,0,GW.h
ON,hydro,reference,2012,33887,GW.h
PE,hydro,reference,2012,0,GW.h
QC,hydro,reference,2012,191955.4,GW.h
SK,hydro,reference,2012,4240,GW.h
YT,hydro,reference,2012,430.194,GW.h
AB,hydro,reference,2013,2028,GW.h
BC,hydro,reference,2013,58666.27,GW.h
MB,hydro,reference,2013,35337,GW.h
NB,hydro,reference,2013,3410.312,GW.h
NL,hydro,reference,2013,41441.68,GW.h
NS,hydro,reference,2013,1020.588,GW.h
NT,hydro,reference,2013,262.758,GW.h
NU,hydro,reference,2013,0,GW.h
ON,hydro,reference,2013,37936,GW.h
PE,hydro,reference,2013,0,GW.h
QC,hydro,reference,2013,202512.3,GW.h
SK,hydro,reference,2013,4449,GW.h
YT,hydro,reference,2013,347.187,GW.h
AB,hydro,reference,2014,1821.377,GW.h
BC,hydro,reference,2014,57572.87,GW.h
MB,hydro,reference,2014,34494.88,GW.h
NB,hydro,reference,2014,2963.114,GW.h
NL,hydro,reference,2014,39047.83,GW.h
NS,hydro,reference,2014,1144.169,GW.h
NT,hydro,reference,2014,233.8172,GW.h
NU,hydro,reference,2014,0,GW.h
ON,hydro,reference,2014,39199.48,GW.h
PE,hydro,reference,2014,0,GW.h
QC,hydro,reference,2014,197207.4,GW.h
SK,hydro,reference,2014,4706.09,GW.h
YT,hydro,reference,2014,410.668,GW.h
AB,hydro,reference,2015,1977.46,GW.h
BC,hydro,reference,2015,64713.33,GW.h
MB,hydro,reference,2015,34773.94,GW.h
NB,hydro,reference,2015,2615.121,GW.h
NL,hydro,reference,2015,39685.86,GW.h
NS,hydro,reference,2015,1021.4909,GW.h
NT,hydro,reference,2015,163.8369,GW.h
NU,hydro,reference,2015,0,GW.h
ON,hydro,reference,2015,34947.93,GW.h
PE,hydro,reference,2015,0,GW.h
QC,hydro,reference,2015,194366.2,GW.h
SK,hydro,reference,2015,3425.611,GW.h
YT,hydro,reference,2015,421.696,GW.h
AB,hydro,reference,2016,2281.722,GW.h
BC,hydro,reference,2016,65194.44,GW.h
MB,hydro,reference,2016,35599.45,GW.h
NB,hydro,reference,2016,3133.632,GW.h
NL,hydro,reference,2016,39482.84,GW.h
NS,hydro,reference,2016,879.668,GW.h
NT,hydro,reference,2016,255.2725,GW.h
NU,hydro,reference,2016,0,GW.h
ON,hydro,reference,2016,35280.38,GW.h
