province,source,scenario,year,value,unit
NT,total,high,2008,739.468,GW.h
NU,total,high,2008,182.199,GW.h
ON,total,high,2008,162748.6145,GW.h
PE,total,high,2008,126.931,GW.h
QC,total,high,2008,194213.3379,GW.h
SK,total,high,2008,21766.5423,GW.h
YT,total,high,2008,371.062,GW.h
all,total,high,2009,587561.3747999999,GW.h
AB,total,high,2009,67176.3683,GW.h
BC,total,high,2009,61749.9656,GW.h
MB,total,high,2009,34096.501,GW.h
NB,total,high,2009,12781.6917,GW.h
NL,total,high,2009,37391.2706,GW.h
NS,total,high,2009,11659.9499,GW.h
NT,total,high,2009,642.202,GW.h
NU,total,high,2009,161.925,GW.h
ON,total,high,2009,145324.4705,GW.h
PE,total,high,2009,304.177,GW.h
QC,total,high,2009,195118.648,GW.h
SK,total,high,2009,20756.3792,GW.h
YT,total,high,2009,397.826,GW.h
all,total,high,2010,586654.9648999999,GW.h
AB,total,high,2010,71576.1298,GW.h
BC,total,high,2010,60090.1567,GW.h
MB,total,high,2010,33751.26,GW.h
NB,total,high,2010,11091.449,GW.h
NL,total,high,2010,41916.9451,GW.h
NS,total,high,2010,12002.2185,GW.h
NT,total,high,2010,520.928,GW.h
NU,total,high,2010,161.925,GW.h
ON,total,high,2010,151284.4313,GW.h
PE,total,high,2010,430.817,GW.h
QC,total,high,2010,183014.996,GW.h
SK,total,high,2010,20408.4095,GW.h
YT,total,high,2010,405.299,GW.h
all,total,high,2011,611322.9127,GW.h
AB,total,high,2011,73439.9581,GW.h
BC,total,high,2011,66194.1372,GW.h
MB,total,high,2011,35112.6171,GW.h
NB,total,high,2011,11688.3769,GW.h
NL,total,high,2011,41772.6161,GW.h
NS,total,high,2011,11966.0845,GW.h
NT,total,high,2011,452.584,GW.h
NU,total,high,2011,98.307,GW.h
ON,total,high,2011,153199.8557,GW.h
PE,total,high,2011,463.123,GW.h
QC,total,high,2011,195388.2407,GW.h
SK,total,high,2011,21121.6754,GW.h
YT,total,high,2011,425.337,GW.h
all,total,high,2012,616091.2712,GW.h
AB,total,high,2012,71013.2354,GW.h
BC,total,high,2012,70352.7968,GW.h
MB,total,high,2012,33177.799,GW.h
NB,total,high,2012,9764.9601,GW.h
NL,total,high,2012,43683.684,GW.h
NS,total,high,2012,11404.6538,GW.h
NT,total,high,2012,447.4,GW.h
NU,total,high,2012,98.306,GW.h
ON,total,high,2012,155603.9078,GW.h
PE,total,high,2012,480.783,GW.h
QC,total,high,2012,198486.0252,GW.h
SK,total,high,2012,21122.7161,GW.h
YT,total,high,2012,455.004,GW.h
all,total,high,2013,617839.8516000002,GW.h
AB,total,high,2013,73439.1241,GW.h
BC,total,high,2013,64924.8309,GW.h
MB,total,high,2013,36320.38,GW.h
NB,total,high,2013,14804.005,GW.h
