province,sector,source,scenario,year,value,unit
NU,total,total,reference,2037,6.5132,Petajoules
ON,total,total,reference,2037,3124.8926,Petajoules
PE,total,total,reference,2037,23.8661,Petajoules
QC,total,total,reference,2037,1809.3555,Petajoules
SK,total,total,reference,2037,719.5243,Petajoules
YT,total,total,reference,2037,6.1007,Petajoules
all,total,total,reference,2038,12166.8918,Petajoules
AB,total,total,reference,2038,4461.8815,Petajoules
BC,total,total,reference,2038,1204.4632,Petajoules
MB,total,total,reference,2038,307.1387,Petajoules
NB,total,total,reference,2038,209.789,Petajoules
NL,total,total,reference,2038,130.9148,Petajoules
NS,total,total,reference,2038,144.1791,Petajoules
NT,total,total,reference,2038,14.5829,Petajoules
NU,total,total,reference,2038,6.5281,Petajoules
ON,total,total,reference,2038,3127.1871,Petajoules
PE,total,total,reference,2038,23.7456,Petajoules
QC,total,total,reference,2038,1808.6054,Petajoules
SK,total,total,reference,2038,722.0412,Petajoules
YT,total,total,reference,2038,5.8359,Petajoules
all,total,total,reference,2039,12163.9535,Petajoules
AB,total,total,reference,2039,4461.6812,Petajoules
BC,total,total,reference,2039,1201.9985,Petajoules
MB,total,total,reference,2039,306.7629,Petajoules
NB,total,total,reference,2039,208.9672,Petajoules
NL,total,total,reference,2039,129.5865,Petajoules
NS,total,total,reference,2039,143.1812,Petajoules
NT,total,total,reference,2039,14.4988,Petajoules
NU,total,total,reference,2039,6.5435,Petajoules
ON,total,total,reference,2039,3129.3807,Petajoules
PE,total,total,reference,2039,23.6495,Petajoules
QC,total,total,reference,2039,1807.7018,Petajoules
SK,total,total,reference,2039,724.6955,Petajoules
YT,total,total,reference,2039,5.3059,Petajoules
all,total,total,reference,2040,12155.0617,Petajoules
AB,total,total,reference,2040,4454.7725,Petajoules
BC,total,total,reference,2040,1199.1034,Petajoules
MB,total,total,reference,2040,306.352,Petajoules
NB,total,total,reference,2040,208.1244,Petajoules
NL,total,total,reference,2040,127.7334,Petajoules
NS,total,total,reference,2040,142.1856,Petajoules
NT,total,total,reference,2040,14.4252,Petajoules
NU,total,total,reference,2040,6.5629,Petajoules
ON,total,total,reference,2040,3132.1419,Petajoules
PE,total,total,reference,2040,23.5331,Petajoules
QC,total,total,reference,2040,1807.2256,Petajoules
SK,total,total,reference,2040,727.5935,Petajoules
YT,total,total,reference,2040,5.3083,Petajoules
all,total,total,technology,2005,10410.7093,Petajoules
AB,total,total,technology,2005,2715.5622,Petajoules
BC,total,total,technology,2005,1243.9927,Petajoules
MB,total,total,technology,2005,290.8724,Petajoules
NB,total,total,technology,2005,249.7679,Petajoules
NL,total,total,technology,2005,160.2072,Petajoules
NS,total,total,technology,2005,203.4017,Petajoules
