province,sector,source,scenario,year,value,unit
SK,total,total,high,2006,533.388,Petajoules
YT,total,total,high,2006,7.2779,Petajoules
all,total,total,high,2007,10961.6972,Petajoules
AB,total,total,high,2007,3064.8107,Petajoules
BC,total,total,high,2007,1233.1341,Petajoules
MB,total,total,high,2007,294.1949,Petajoules
NB,total,total,high,2007,259.4684,Petajoules
NL,total,total,high,2007,178.2772,Petajoules
NS,total,total,high,2007,210.9159,Petajoules
NT,total,total,high,2007,25.022,Petajoules
NU,total,total,high,2007,5.1729,Petajoules
ON,total,total,high,2007,3132.1845,Petajoules
PE,total,total,high,2007,27.1943,Petajoules
QC,total,total,high,2007,1957.1,Petajoules
SK,total,total,high,2007,567.2725,Petajoules
YT,total,total,high,2007,6.9495,Petajoules
all,total,total,high,2008,10720.3827,Petajoules
AB,total,total,high,2008,2932.0507,Petajoules
BC,total,total,high,2008,1172.2032,Petajoules
MB,total,total,high,2008,294.4657,Petajoules
NB,total,total,high,2008,244.2957,Petajoules
NL,total,total,high,2008,173.5157,Petajoules
NS,total,total,high,2008,205.2844,Petajoules
NT,total,total,high,2008,22.1484,Petajoules
NU,total,total,high,2008,5.119,Petajoules
ON,total,total,high,2008,3139.4336,Petajoules
PE,total,total,high,2008,26.213,Petajoules
QC,total,total,high,2008,1917.7252,Petajoules
SK,total,total,high,2008,581.4585,Petajoules
YT,total,total,high,2008,6.469,Petajoules
all,total,total,high,2009,10314.2109,Petajoules
AB,total,total,high,2009,2960.426,Petajoules
BC,total,total,high,2009,1131.8542,Petajoules
MB,total,total,high,2009,286.3546,Petajoules
NB,total,total,high,2009,251.6538,Petajoules
NL,total,total,high,2009,163.9742,Petajoules
NS,total,total,high,2009,203.0437,Petajoules
NT,total,total,high,2009,16.4933,Petajoules
NU,total,total,high,2009,3.89,Petajoules
ON,total,total,high,2009,2808.8422,Petajoules
PE,total,total,high,2009,26.2038,Petajoules
QC,total,total,high,2009,1864.4136,Petajoules
SK,total,total,high,2009,591.481,Petajoules
YT,total,total,high,2009,5.5814,Petajoules
all,total,total,high,2010,10603.2217,Petajoules
AB,total,total,high,2010,3124.5411,Petajoules
BC,total,total,high,2010,1150.1146,Petajoules
MB,total,total,high,2010,284.6176,Petajoules
NB,total,total,high,2010,277.7251,Petajoules
