province,type,scenario,year,value,unit
all,Total,reference,2038,1081.86729736139,Thousand cubic metres
AB,Total,reference,2038,809.735995541544,Thousand cubic metres
BC,Total,reference,2038,2.92350555394022,Thousand cubic metres
MB,Total,reference,2038,2.86356303990555,Thousand cubic metres
NB,Total,reference,2038,0,Thousand cubic metres
NL,Total,reference,2038,22.0633005784762,Thousand cubic metres
NS,Total,reference,2038,0,Thousand cubic metres
NT,Total,reference,2038,0.69305224746027,Thousand cubic metres
NU,Total,reference,2038,0,Thousand cubic metres
ON,Total,reference,2038,0.109448268286597,Thousand cubic metres
PE,Total,reference,2038,0,Thousand cubic metres
QC,Total,reference,2038,0,Thousand cubic metres
SK,Total,reference,2038,111.363768190623,Thousand cubic metres
YT,Total,reference,2038,0,Thousand cubic metres
all,Total,reference,2039,1089.83324351719,Thousand cubic metres
AB,Total,reference,2039,815.129856100153,Thousand cubic metres
BC,Total,reference,2039,2.98727885456423,Thousand cubic metres
MB,Total,reference,2039,2.87256988449573,Thousand cubic metres
NB,Total,reference,2039,0,Thousand cubic metres
NL,Total,reference,2039,19.5521845307513,Thousand cubic metres
NS,Total,reference,2039,0,Thousand cubic metres
NT,Total,reference,2039,0.672260680036462,Thousand cubic metres
NU,Total,reference,2039,0,Thousand cubic metres
ON,Total,reference,2039,0.108353785603731,Thousand cubic metres
PE,Total,reference,2039,0,Thousand cubic metres
QC,Total,reference,2039,0,Thousand cubic metres
SK,Total,reference,2039,112.896663995926,Thousand cubic metres
YT,Total,reference,2039,0,Thousand cubic metres
all,Total,reference,2040,1097.87043574641,Thousand cubic metres
AB,Total,reference,2040,820.524484387966,Thousand cubic metres
BC,Total,reference,2040,3.05568384404897,Thousand cubic metres
MB,Total,reference,2040,2.88589345064315,Thousand cubic metres
NB,Total,reference,2040,0,Thousand cubic metres
NL,Total,reference,2040,16.9910964011065,Thousand cubic metres
NS,Total,reference,2040,0,Thousand cubic metres
NT,Total,reference,2040,0.644571244753148,Thousand cubic metres
NU,Total,reference,2040,0,Thousand cubic metres
