province,type,scenario,year,value,unit
SK,Total,reference,2037,11.98537202,Million cubic metres Per Day
YT,Total,reference,2037,0,Million cubic metres Per Day
all,Total,reference,2038,468.007568,Million cubic metres Per Day
AB,Total,reference,2038,302.9542182,Million cubic metres Per Day
BC,Total,reference,2038,152.9815094,Million cubic metres Per Day
MB,Total,reference,2038,0,Million cubic metres Per Day
NB,Total,reference,2038,0.02455421201,Million cubic metres Per Day
NL,Total,reference,2038,0,Million cubic metres Per Day
NS,Total,reference,2038,0,Million cubic metres Per Day
NT,Total,reference,2038,0.0002872805001,Million cubic metres Per Day
NU,Total,reference,2038,0,Million cubic metres Per Day
ON,Total,reference,2038,3.630247703e-9,Million cubic metres Per Day
PE,Total,reference,2038,0,Million cubic metres Per Day
QC,Total,reference,2038,0,Million cubic metres Per Day
SK,Total,reference,2038,12.04699886,Million cubic metres Per Day
YT,Total,reference,2038,0,Million cubic metres Per Day
all,Total,reference,2039,472.841208,Million cubic metres Per Day
AB,Total,reference,2039,306.4535866,Million cubic metres Per Day
BC,Total,reference,2039,154.2490747,Million cubic metres Per Day
MB,Total,reference,2039,0,Million cubic metres Per Day
NB,Total,reference,2039,0.02209879081,Million cubic metres Per Day
NL,Total,reference,2039,0,Million cubic metres Per Day
NS,Total,reference,2039,0,Million cubic metres Per Day
NT,Total,reference,2039,0.0002120125339,Million cubic metres Per Day
NU,Total,reference,2039,0,Million cubic metres Per Day
ON,Total,reference,2039,1.11047374e-9,Million cubic metres Per Day
PE,Total,reference,2039,0,Million cubic metres Per Day
QC,Total,reference,2039,0,Million cubic metres Per Day
SK,Total,reference,2039,12.11623585,Million cubic metres Per Day
YT,Total,reference,2039,0,Million cubic metres Per Day
