province,type,scenario,year,value,unit
MB,Total,reference,2037,2.442090051,Thousand cubic metres
NB,Total,reference,2037,0,Thousand cubic metres
NL,Total,reference,2037,21.94190517,Thousand cubic metres
NS,Total,reference,2037,0,Thousand cubic metres
NT,Total,reference,2037,0.7226060218,Thousand cubic metres
NU,Total,reference,2037,0,Thousand cubic metres
ON,Total,reference,2037,0.1118100996,Thousand cubic metres
PE,Total,reference,2037,0,Thousand cubic metres
QC,Total,reference,2037,0,Thousand cubic metres
SK,Total,reference,2037,118.7914151,Thousand cubic metres
YT,Total,reference,2037,0,Thousand cubic metres
all,Total,reference,2038,992.0919035,Thousand cubic metres
AB,Total,reference,2038,833.5814554,Thousand cubic metres
BC,Total,reference,2038,15.55057835,Thousand cubic metres
MB,Total,reference,2038,2.444109827,Thousand cubic metres
NB,Total,reference,2038,0,Thousand cubic metres
NL,Total,reference,2038,19.12327304,Thousand cubic metres
NS,Total,reference,2038,0,Thousand cubic metres
NT,Total,reference,2038,0.6930522475,Thousand cubic metres
NU,Total,reference,2038,0,Thousand cubic metres
ON,Total,reference,2038,0.1094482683,Thousand cubic metres
PE,Total,reference,2038,0,Thousand cubic metres
QC,Total,reference,2038,0,Thousand cubic metres
SK,Total,reference,2038,120.5899863,Thousand cubic metres
YT,Total,reference,2038,0,Thousand cubic metres
all,Total,reference,2039,998.2254727,Thousand cubic metres
AB,Total,reference,2039,838.9004582,Thousand cubic metres
BC,Total,reference,2039,15.70775427,Thousand cubic metres
MB,Total,reference,2039,2.448950142,Thousand cubic metres
NB,Total,reference,2039,0,Thousand cubic metres
NL,Total,reference,2039,18.02166644,Thousand cubic metres
NS,Total,reference,2039,0,Thousand cubic metres
NT,Total,reference,2039,0.67226068,Thousand cubic metres
NU,Total,reference,2039,0,Thousand cubic metres
ON,Total,reference,2039,0.1083537856,Thousand cubic metres
PE,Total,reference,2039,0,Thousand cubic metres
QC,Total,reference,2039,0,Thousand cubic metres
SK,Total,reference,2039,122.3660292,Thousand cubic metres
YT,Total,reference,2039,0,Thousand cubic metres
all,Total,reference,2040,999.9981,Thousand cubic metres
AB,Total,reference,2040,840.6130638,Thousand cubic metres
BC,Total,reference,2040,15.86090542,Thousand cubic metres
MB,Total,reference,2040,2.454340911,Thousand cubic metres
NB,Total,reference,2040,0,Thousand cubic metres
NL,Total,reference,2040,16.18621707,Thousand cubic metres
NS,Total,reference,2040,0,Thousand cubic metres
NT,Total,reference,2040,0.6445712448,Thousand cubic metres
NU,Total,reference,2040,0,Thousand cubic metres
ON,Total,reference,2040,0.1060512677,Thousand cubic metres
PE,Total,reference,2040,0,Thousand cubic metres
QC,Total,reference,2040,0,Thousand cubic metres
SK,Total,reference,2040,124.1329503,Thousand cubic metres
YT,Total,reference,2040,0,Thousand cubic metres
all,Total,technology,2005,411.67,Thousand cubic metres
AB,Total,technology,2005,282.21,Thousand cubic metres
BC,Total,technology,2005,6.63,Thousand cubic metres
MB,Total,technology,2005,2.21,Thousand cubic metres
NB,Total,technology,2005,0,Thousand cubic metres
NL,Total,technology,2005,48.47,Thousand cubic metres
NS,Total,technology,2005,2.05,Thousand cubic metres
NT,Total,technology,2005,2.99,Thousand cubic metres
NU,Total,technology,2005,0,Thousand cubic metres
ON,Total,technology,2005,0.38,Thousand cubic metres
PE,Total,technology,2005,0,Thousand cubic metres
QC,Total,technology,2005,0,Thousand cubic metres
SK,Total,technology,2005,66.73,Thousand cubic metres
YT,Total,technology,2005,0,Thousand cubic metres
all,Total,technology,2006,440.16,Thousand cubic metres
AB,Total,technology,2006,308.9,Thousand cubic metres
BC,Total,technology,2006,6.56,Thousand cubic metres
MB,Total,technology,2006,3.02,Thousand cubic metres
NB,Total,technology,2006,0,Thousand cubic metres
