province,sector,source,scenario,year,value,unit
NU,total,total,reference,2028,6.3991,Petajoules
ON,total,total,reference,2028,3122.7635,Petajoules
PE,total,total,reference,2028,24.7316,Petajoules
QC,total,total,reference,2028,1800.2504,Petajoules
SK,total,total,reference,2028,714.0222,Petajoules
YT,total,total,reference,2028,7.4375,Petajoules
all,total,total,reference,2029,12053.2037,Petajoules
AB,total,total,reference,2029,4325.5236,Petajoules
BC,total,total,reference,2029,1206.2749,Petajoules
MB,total,total,reference,2029,310.7489,Petajoules
NB,total,total,reference,2029,216.8854,Petajoules
NL,total,total,reference,2029,153.8237,Petajoules
NS,total,total,reference,2029,152.4557,Petajoules
NT,total,total,reference,2029,15.6984,Petajoules
NU,total,total,reference,2029,6.4135,Petajoules
ON,total,total,reference,2029,3117.3609,Petajoules
PE,total,total,reference,2029,24.6647,Petajoules
QC,total,total,reference,2029,1802.1942,Petajoules
SK,total,total,reference,2029,714.4267,Petajoules
YT,total,total,reference,2029,6.7338,Petajoules
all,total,total,reference,2030,12091.5809,Petajoules
AB,total,total,reference,2030,4370.6601,Petajoules
BC,total,total,reference,2030,1207.541,Petajoules
MB,total,total,reference,2030,310.4292,Petajoules
NB,total,total,reference,2030,216.1375,Petajoules
NL,total,total,reference,2030,145.0983,Petajoules
NS,total,total,reference,2030,151.7195,Petajoules
NT,total,total,reference,2030,15.5306,Petajoules
NU,total,total,reference,2030,6.4253,Petajoules
ON,total,total,reference,2030,3116.7342,Petajoules
PE,total,total,reference,2030,24.5898,Petajoules
QC,total,total,reference,2030,1805.1981,Petajoules
SK,total,total,reference,2030,714.9672,Petajoules
YT,total,total,reference,2030,6.5499,Petajoules
all,total,total,reference,2031,12110.4246,Petajoules
AB,total,total,reference,2031,4388.5755,Petajoules
BC,total,total,reference,2031,1208.5238,Petajoules
MB,total,total,reference,2031,310.0798,Petajoules
NB,total,total,reference,2031,215.4891,Petajoules
NL,total,total,reference,2031,142.9126,Petajoules
NS,total,total,reference,2031,150.9227,Petajoules
NT,total,total,reference,2031,15.3859,Petajoules
NU,total,total,reference,2031,6.4412,Petajoules
ON,total,total,reference,2031,3118.3963,Petajoules
PE,total,total,reference,2031,24.5333,Petajoules
QC,total,total,reference,2031,1807.009,Petajoules
SK,total,total,reference,2031,715.6673,Petajoules
YT,total,total,reference,2031,6.4883,Petajoules
all,total,total,reference,2032,12111.2228,Petajoules
AB,total,total,reference,2032,4386.3829,Petajoules
BC,total,total,reference,2032,1208.3686,Petajoules
MB,total,total,reference,2032,309.7004,Petajoules
NB,total,total,reference,2032,214.7794,Petajoules
NL,total,total,reference,2032,142.0139,Petajoules
NS,total,total,reference,2032,150.0298,Petajoules
NT,total,total,reference,2032,15.2509,Petajoules
NU,total,total,reference,2032,6.4493,Petajoules
ON,total,total,reference,2032,3121.1611,Petajoules
PE,total,total,reference,2032,24.4463,Petajoules
